"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 23:21:01 GMT 2024","Tue Apr 16 23:21:01 GMT 2024","157","Image Registration","Submitting an image and updating the list","","","","And the list of registered images should be updated with the new item",""
"passed","Tue Apr 16 23:21:00 GMT 2024","Tue Apr 16 23:21:00 GMT 2024","44","Image Registration","Submitting an image and updating the list","","","","Given I am on the image registration page",""
"passed","Tue Apr 16 23:21:00 GMT 2024","Tue Apr 16 23:21:00 GMT 2024","139","Image Registration","Submitting an image with valid inputs using enter key","","","","And the list of registered images should be updated with the new item",""
"passed","Tue Apr 16 23:21:00 GMT 2024","Tue Apr 16 23:21:01 GMT 2024","95","Image Registration","Submitting an image and updating the list","","","","Then I have entered ""https://storage.googleapis.com/pai-images/8eb10978927d49fbbb3e9650855e55a5.jpeg"" in the URL field",""
"passed","Tue Apr 16 23:20:58 GMT 2024","Tue Apr 16 23:20:58 GMT 2024","6","Image Registration","Submitting an image with invalid inputs","","","","When I enter """" in the title field",""
"passed","Tue Apr 16 23:21:02 GMT 2024","Tue Apr 16 23:21:02 GMT 2024","209","Image Registration","Refreshing the page after submitting an image clicking in the submit button","","","","Then I should still see the submitted image in the list of registered images",""
"passed","Tue Apr 16 23:20:59 GMT 2024","Tue Apr 16 23:20:59 GMT 2024","141","Image Registration","Submitting an image with valid inputs using enter key","","","","When I enter ""https://static.vecteezy.com/ti/fotos-gratis/t1/22911203-estrangeiro-humanoide-retrato-em-sombrio-fundo-invasao-do-extraterrestre-estrangeiro-rapto-criada-com-generativo-ai-gratis-foto.jpg"" in the URL field",""
"passed","Tue Apr 16 23:21:01 GMT 2024","Tue Apr 16 23:21:01 GMT 2024","49","Image Registration","Submitting an image and updating the list","","","","And the new item should be stored in the localStorage",""
"passed","Tue Apr 16 23:21:01 GMT 2024","Tue Apr 16 23:21:01 GMT 2024","112","Image Registration","Submitting an image and updating the list","","","","Then The inputs should be cleared",""
"passed","Tue Apr 16 23:20:58 GMT 2024","Tue Apr 16 23:20:58 GMT 2024","10","Image Registration","Submitting an image with invalid inputs","","","","Then I enter """" in the URL field",""
"passed","Tue Apr 16 23:20:58 GMT 2024","Tue Apr 16 23:20:58 GMT 2024","14","Image Registration","Submitting an image with invalid inputs","","","","And I should see ""Please type a valid URL"" message above the imageUrl field",""
"passed","Tue Apr 16 23:20:59 GMT 2024","Tue Apr 16 23:21:00 GMT 2024","574","Image Registration","Submitting an image with valid inputs using enter key","","","","Then I can hit enter to submit the form",""
"passed","Tue Apr 16 23:20:58 GMT 2024","Tue Apr 16 23:20:58 GMT 2024","98","Image Registration","Submitting an image with invalid inputs","","","","Then I click the submit button",""
"passed","Tue Apr 16 23:21:00 GMT 2024","Tue Apr 16 23:21:00 GMT 2024","11","Image Registration","Submitting an image with valid inputs using enter key","","","","Then The inputs should be cleared",""
"passed","Tue Apr 16 23:21:02 GMT 2024","Tue Apr 16 23:21:02 GMT 2024","541","Image Registration","Refreshing the page after submitting an image clicking in the submit button","","","","When I refresh the page",""
"passed","Tue Apr 16 23:20:58 GMT 2024","Tue Apr 16 23:20:58 GMT 2024","35","Image Registration","Submitting an image with invalid inputs","","","","And I should see an exclamation icon in the title and URL fields",""
"passed","Tue Apr 16 23:20:59 GMT 2024","Tue Apr 16 23:20:59 GMT 2024","295","Image Registration","Submitting an image with valid inputs using enter key","","","","When I enter ""Humanoide E.T"" in the title field",""
"passed","Tue Apr 16 23:21:01 GMT 2024","Tue Apr 16 23:21:02 GMT 2024","349","Image Registration","Refreshing the page after submitting an image clicking in the submit button","","","","Then I have submitted an image by clicking the submit button",""
"passed","Tue Apr 16 23:21:01 GMT 2024","Tue Apr 16 23:21:01 GMT 2024","79","Image Registration","Submitting an image and updating the list","","","","Then I click the submit button",""
"passed","Tue Apr 16 23:21:00 GMT 2024","Tue Apr 16 23:21:00 GMT 2024","338","Image Registration","Submitting an image and updating the list","","","","Then I have entered ""Alien Glass Statue"" in the title field",""
"passed","Tue Apr 16 23:21:01 GMT 2024","Tue Apr 16 23:21:01 GMT 2024","46","Image Registration","Refreshing the page after submitting an image clicking in the submit button","","","","Given I am on the image registration page",""
"passed","Tue Apr 16 23:20:59 GMT 2024","Tue Apr 16 23:20:59 GMT 2024","80","Image Registration","Submitting an image with valid inputs using enter key","","","","Then I should see a check icon in the fields",""
"passed","Tue Apr 16 23:21:00 GMT 2024","Tue Apr 16 23:21:00 GMT 2024","83","Image Registration","Submitting an image with valid inputs using enter key","","","","And the new item should be stored in the localStorage",""
"passed","Tue Apr 16 23:20:58 GMT 2024","Tue Apr 16 23:20:58 GMT 2024","58","Image Registration","Submitting an image with valid inputs using enter key","","","","Given I am on the image registration page",""
"passed","Tue Apr 16 23:20:58 GMT 2024","Tue Apr 16 23:20:58 GMT 2024","324","Image Registration","Submitting an image with invalid inputs","","","","Given I am on the image registration page",""
"passed","Tue Apr 16 23:20:58 GMT 2024","Tue Apr 16 23:20:58 GMT 2024","19","Image Registration","Submitting an image with invalid inputs","","","","Then I should see ""Please type a title for the image"" message above the title field",""
